Main_Feature,Province,Sub_Feature,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2021,2022,Sơ bộ 2022
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",CẢ NƯỚC,,,,,5,,7.5,6,8.7,9.7,10.4,7.2,8.8,9.2,5.5,4.6,3.7,..,..,..,..,,,..
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Đồng bằng sông Hồng,,,,,2.5,,3.4,2.5,3.2,3.5,4.5,2.7,3.6,3.1,1.8,1.7,1.3,2.1,3.3,4.8,4.8,,,3.66
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hà Nội,,,,,13.8,,14.8,10.7,13.1,10.8,11,6.1,7.7,7.5,4.7,4.6,3,4.7,8.8,6.26,7.68,,,4.79
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hà Tây,,,,,2.2,,2.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,..
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Vĩnh Phúc,,,,,2.5,,2.4,3.8,4.5,4.8,4.3,2.9,6.4,4.9,2.8,2.4,1.7,2,2.5,2.16,2.31,,,1.45
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Bắc Ninh,,,,,5.3,,12.4,6.2,6.4,9.8,13.4,12.7,19.4,15.4,16,11,9.7,11.1,21.4,40.92,45.66,,,39.35
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Quảng Ninh,,,,,3.6,,3.5,2.6,5.7,3.7,3.6,2,4.5,3.8,1.7,1.1,1.1,1.4,2.4,0.95,0.37,,,1.05
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hải Dương,,,,,3.1,,3.1,4.5,4.3,5,7.8,5.6,5.6,4,1.4,1.2,1.4,3.8,2.5,2.46,1.01,,,1.86
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hải Phòng,,,,,4.1,,4.5,3.9,5.6,7,7.1,6,6.6,4,2.9,1.4,2.2,1.6,2.7,2.55,5.93,,,2.53
"Tỷ suất nhập cư, xuất cư và di cư thuần phân theo địa phương chia theo Tỉnh-Thành phố, Tỷ suất và Năm",Hưng Yên,,,,,6.8,,6.7,3.9,5.4,6.5,8,7,10.9,7.4,3.5,3.9,3.2,3.4,4.5,8.65,3.64,,,3.49
