Main_Feature,Province,Sub_Feature,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Sơ bộ 2021,2022,Sơ bộ 2022
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bắc Trung Bộ và Duyên hải miền Trung,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,1.501,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Thanh Hóa,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,123,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Nghệ An,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,110,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hà Tĩnh,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,91,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Quảng Bình,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,65,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Quảng Trị,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,102,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Thừa Thiên-Huế,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,181,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đà Nẵng,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,56,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Quảng Nam,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,136,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Quảng Ngãi,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,102,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bình Định,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,113,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Phú Yên,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,79,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Khánh Hòa,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,117,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Ninh Thuận,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,50,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bình Thuận,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,176,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Tây Nguyên,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,558,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Kon Tum,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,68,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Gia Lai,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,242,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đắk Lắk,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,143,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đắk Nông,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,34,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Lâm Đồng,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,71,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đông Nam Bộ,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,1.547,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bình Phước,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,135,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Tây Ninh,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,37,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bình Dương,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,316,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đồng Nai,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,173,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bà Rịa - Vũng Tàu,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,251,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",TP. Hồ Chí Minh,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,635,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đồng bằng sông Cửu Long,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,1.143,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Long An,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,80,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Tiền Giang,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,272,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bến Tre,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,147,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Trà Vinh,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,36,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Vĩnh Long,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,99,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đồng Tháp,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,78,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",An Giang,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,57,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Kiên Giang,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,85,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Cần Thơ,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,72,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hậu Giang,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,59,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Sóc Trăng,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,125,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Bạc Liêu,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,21,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Cà Mau,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,12,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Khác,Số người bị thương,,,,,,,,,,,,,,,,,,,,,,13,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",TỔNG SỐ,,,,,,,,,,,,,,,,,,,,,,,,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Đồng bằng sông Hồng,,,,,,,,,,,,,,,,,,,,,,,,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Hà Nội,,,,,,,,,,,,,,,,,,,,,,,,
"Một số chỉ tiêu về tai nạn giao thông phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu",Vĩnh Phúc,,,,,,,,,,,,,,,,,,,,,,,,
